,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
99481,PHL,Asia,Philippines,2020-02-19,3.0,0.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,0.009,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,,,,
33049,DNK,Europe,Denmark,2020-02-20,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.001,0.0,1.0,0.0,,,tests performed,,,,,,,,,,,,,,0.0,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
63105,JPN,Asia,Japan,2020-02-20,95.0,10.0,8.857,2.0,0.0,0.143,0.754,0.079,0.07,0.016,0.0,0.001,,,,,,,,,,90.0,565.0,0.004,0.001,68.0,0.001,0.13,7.7,people tested,,,,,,,,,,,,,,25.0,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
25582,CHN,Asia,China,2020-02-22,76932.0,1450.0,1225.0,2441.0,205.0,111.286,53.269,1.004,0.848,1.69,0.142,0.077,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
7171,AUS,Oceania,Australia,2020-02-23,15.0,0.0,0.0,,,0.0,0.582,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,70.8,0.35,2.31,2.74543990381344
120186,CHE,Europe,Switzerland,2020-02-25,1.0,1.0,,,,,0.115,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
40796,OWID_EUR,,Europe,2020-02-25,402.0,108.0,49.286,11.0,3.0,1.429,0.537,0.144,0.066,0.015,0.004,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748962983.0,,,,,,,,,,,,,,,,,,
114267,ZAF,Africa,South Africa,2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,people tested,,,,,,,,,,,,,,2.78,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,,,
4902,ARG,South America,Argentina,2020-02-27,,,,,,,,,,,,,,,,,,,,,,5.0,627.0,0.014,0.0,4.0,0.0,0.097,10.3,tests performed,,,,,,,,,,,,,,11.11,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
1974,DZA,Africa,Algeria,2020-02-27,1.0,0.0,,,,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
76742,MYS,Asia,Malaysia,2020-02-27,23.0,1.0,0.143,,,0.0,0.702,0.031,0.004,,,0.0,,,,,,,,,,139.0,3432.0,0.105,0.004,104.0,0.003,0.001,727.3,people tested,,,,,,,,,,,,,,19.44,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,,,,
