,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
58350,OWID_INT,,International,2020-08-28,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50200,GTM,North America,Guatemala,2020-08-29,73679.0,758.0,831.857,2728.0,19.0,21.143,4037.235,41.535,45.582,149.481,1.041,1.159,0.94,,,,,,,,,1193.0,236971.0,12.985,0.065,3081.0,0.169,0.27,3.7,people tested,,,,,,,,,,,,,,87.04,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
70122,LSO,Africa,Lesotho,2020-08-29,1051.0,0.0,5.143,31.0,0.0,0.143,486.784,0.0,2.382,14.358,0.0,0.066,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
42696,FJI,Oceania,Fiji,2020-08-30,28.0,0.0,0.0,2.0,0.0,0.143,31.011,0.0,0.0,2.215,0.0,0.158,,,,,,,,,,62.0,8365.0,9.265,0.069,55.0,0.061,0.0,,tests performed,,,,,,,,,,,,,,51.85,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
99674,PHL,Asia,Philippines,2020-08-30,217396.0,4265.0,3970.714,3520.0,101.0,74.571,1957.695,38.407,35.757,31.698,0.91,0.672,0.92,,,,,,,,,33613.0,2451090.0,22.073,0.303,34906.0,0.314,0.114,8.8,people tested,,,,,,,,,,,,,,68.98,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,,,,
113783,SOM,Africa,Somalia,2020-08-30,3310.0,0.0,5.857,98.0,1.0,0.714,202.329,0.0,0.358,5.99,0.061,0.044,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
112051,SVK,Europe,Slovakia,2020-08-30,3876.0,34.0,74.286,33.0,0.0,0.0,709.796,6.226,13.604,6.043,0.0,0.0,1.27,,,47.0,8.607,,,,,588.0,334990.0,61.345,0.108,3032.0,0.555,0.023,43.5,tests performed,,,,,,,,,,,,,,33.33,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,-398.9,-1.09,6.66,-73.0488949637832
121694,TWN,Asia,Taiwan,2020-08-31,488.0,0.0,0.143,7.0,0.0,0.0,20.457,0.0,0.006,0.293,0.0,0.0,0.98,,,,,,,,,215.0,87499.0,3.668,0.009,177.0,0.007,0.001,1237.8,people tested,,,,,,,,,,,,,,23.15,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,-4878.2,-4.02,-9.72,-204.493748230979
61974,ITA,Europe,Italy,2020-09-01,270189.0,975.0,1287.857,35491.0,8.0,6.571,4475.738,16.151,21.334,587.916,0.133,0.109,1.21,107.0,1.772,1487.0,24.632,,,,,81050.0,8725909.0,144.547,1.343,85717.0,1.42,0.015,66.6,tests performed,,,,,,,,,,,,,,68.52,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
97018,PAN,North America,Panama,2020-09-01,93552.0,570.0,738.714,2018.0,16.0,14.143,21351.187,130.09,168.595,460.564,3.652,3.228,0.93,,,,,,,,,3514.0,339859.0,77.565,0.802,4320.0,0.986,0.171,5.8,tests performed,,,,,,,,,,,,,,81.48,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
6680,OWID_ASI,,Asia,2020-09-02,7328195.0,110442.0,103441.571,145862.0,1597.0,1548.857,1566.374,23.607,22.11,31.177,0.341,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678444992.0,,,,,,,,,,,,,,,,,,
22827,CPV,Africa,Cape Verde,2020-09-03,4125.0,77.0,60.857,41.0,0.0,0.429,7341.151,137.035,108.306,72.967,0.0,0.763,1.13,,,,,,,,,521.0,,,0.927,390.0,0.694,0.156,6.4,tests performed,,,,,,,,,,,,,,68.98,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
46974,DEU,Europe,Germany,2020-09-03,248840.0,1429.0,1181.286,9322.0,0.0,4.571,2965.895,17.032,14.08,111.108,0.0,0.054,1.04,221.0,2.634,,,,,,,,,,,155360.0,1.852,,,tests performed,,,,,,,,,,,,,,57.87,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
47609,GHA,Africa,Ghana,2020-09-03,44713.0,55.0,124.571,280.0,4.0,1.429,1409.077,1.733,3.926,8.824,0.126,0.045,0.92,,,,,,,,,1034.0,447901.0,14.115,0.033,817.0,0.026,0.152,6.6,samples tested,,,,,,,,,,,,,,44.44,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
94974,OMN,Asia,Oman,2020-09-03,86380.0,452.0,196.429,705.0,16.0,7.857,16537.197,86.534,37.606,134.97,3.063,1.504,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,
20191,BDI,Africa,Burundi,2020-09-04,451.0,3.0,2.571,1.0,0.0,0.0,36.8,0.245,0.21,0.082,0.0,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
67615,KGZ,Asia,Kyrgyzstan,2020-09-04,44199.0,64.0,87.429,1060.0,1.0,0.429,6668.178,9.655,13.19,159.919,0.151,0.065,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,
17457,BRA,South America,Brazil,2020-09-05,4123000.0,31199.0,39549.571,126203.0,701.0,848.714,19266.946,145.794,184.817,589.752,3.276,3.966,0.94,,,,,,,,,,,,,132854.0,0.621,,,tests performed,,,,,,,,,,,,,,69.91,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
23806,CAF,Africa,Central African Republic,2020-09-05,4729.0,0.0,4.143,62.0,0.0,0.143,961.181,0.0,0.842,12.602,0.0,0.029,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
44067,FRA,Europe,France,2020-09-05,357927.0,8594.0,6466.0,30708.0,12.0,13.714,5297.58,127.197,95.701,454.501,0.178,0.203,1.31,476.0,7.045,4667.0,69.075,,,,,93223.0,,,1.38,164701.0,2.438,0.046,21.7,people tested,,,,,,,,,,,,,,48.61,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
86304,MMR,Asia,Myanmar,2020-09-05,1319.0,148.0,81.429,8.0,1.0,0.286,24.067,2.7,1.486,0.146,0.018,0.005,1.93,,,,,,,,,2830.0,171731.0,3.133,0.052,2241.0,0.041,0.036,27.5,samples tested,,,,,,,,,,,,,,81.48,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,
106704,SMR,Europe,San Marino,2020-09-05,735.0,0.0,0.286,42.0,0.0,0.0,21611.291,0.0,8.401,1234.931,0.0,0.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,
121699,TWN,Asia,Taiwan,2020-09-05,492.0,2.0,0.571,7.0,0.0,0.0,20.625,0.084,0.024,0.293,0.0,0.0,1.15,,,,,,,,,112.0,88381.0,3.705,0.005,179.0,0.008,0.003,313.5,people tested,,,,,,,,,,,,,,23.15,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,
29093,CIV,Africa,Cote d'Ivoire,2020-09-06,18588.0,116.0,91.429,119.0,0.0,0.571,687.08,4.288,3.38,4.399,0.0,0.021,0.96,,,,,,,,,1163.0,134026.0,4.954,0.043,1068.0,0.039,0.086,11.7,samples tested,,,,,,,,,,,,,,38.43,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
65492,KEN,Africa,Kenya,2020-09-06,35103.0,83.0,149.429,597.0,3.0,3.286,638.402,1.509,2.718,10.857,0.055,0.06,0.71,,,,,,,,,3093.0,474477.0,8.629,0.056,3476.0,0.063,0.043,23.3,samples tested,,,,,,,,,,,,,,70.37,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
108615,SEN,Africa,Senegal,2020-09-07,14014.0,27.0,57.571,291.0,1.0,1.0,814.942,1.57,3.348,16.922,0.058,0.058,0.75,,,,,,,,,1082.0,160400.0,9.328,0.063,1153.0,0.067,0.05,20.0,tests performed,,,,,,,,,,,,,,37.96,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,,
5096,ARG,South America,Argentina,2020-09-08,500034.0,12027.0,10256.429,10405.0,276.0,212.286,10964.258,263.716,224.893,228.151,6.052,4.655,1.09,,,,,,,,,29031.0,1774038.0,38.899,0.637,25552.0,0.56,0.404,2.5,tests performed,,,,,,,,,,,,,,87.96,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
54380,HND,North America,Honduras,2020-09-08,65218.0,404.0,492.714,2034.0,11.0,20.857,6480.974,40.147,48.963,202.127,1.093,2.073,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
85685,MOZ,Africa,Mozambique,2020-09-08,4647.0,90.0,86.857,28.0,1.0,0.714,144.483,2.798,2.701,0.871,0.031,0.022,1.24,,,,,,,,,701.0,107083.0,3.329,0.022,1233.0,0.038,0.07,14.2,units unclear,,,,,,,,,,,,,,74.07,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,
16809,BWA,Africa,Botswana,2020-09-09,2126.0,0.0,57.429,9.0,0.0,0.429,886.853,0.0,23.956,3.754,0.0,0.179,0.83,,,,,,,,,,,,,2169.0,0.905,0.026,37.8,tests performed,,,,,,,,,,,,,,52.78,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
21521,CMR,Africa,Cameroon,2020-09-09,19848.0,0.0,55.429,415.0,0.0,0.0,729.056,0.0,2.036,15.244,0.0,0.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
63307,JPN,Asia,Japan,2020-09-09,73211.0,508.0,514.429,1412.0,14.0,12.143,580.806,4.03,4.081,11.202,0.111,0.096,0.87,,,,,,,,,23072.0,1480511.0,11.745,0.183,16611.0,0.132,0.031,32.3,people tested,,,,,,,,,,,,,,32.41,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
111207,SGP,Asia,Singapore,2020-09-09,57166.0,75.0,43.714,27.0,0.0,0.0,10482.25,13.752,8.016,4.951,0.0,0.0,1.01,,,,,,,,,,,,,29465.0,5.403,0.001,674.0,samples tested,,,,,,,,,,,,,,50.93,5453600.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,,,
38362,ERI,Africa,Eritrea,2020-09-10,361.0,20.0,4.429,,,0.0,100.237,5.553,1.23,,,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
101074,PRT,Europe,Portugal,2020-09-10,62126.0,585.0,439.286,1852.0,3.0,3.286,6109.999,57.534,43.203,182.141,0.295,0.323,1.33,57.0,5.606,406.0,39.929,,,,,19973.0,2249785.0,221.263,1.964,17051.0,1.677,0.026,38.8,tests performed,,,,,,,,,,,,,,60.65,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,,,,
103053,RUS,Europe,Russia,2020-09-10,1042836.0,5310.0,5130.429,18207.0,127.0,104.0,7147.019,36.392,35.161,124.781,0.87,0.713,1.05,,,,,,,,,337215.0,39912526.0,273.538,2.311,299166.0,2.05,0.017,58.3,tests performed,,,,,,,,,,,,,,38.89,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
44073,FRA,Europe,France,2020-09-11,403837.0,9529.0,7786.286,30906.0,82.0,30.0,5977.081,141.036,115.243,457.431,1.214,0.444,1.25,628.0,9.295,5136.0,76.017,,,,,260554.0,,,3.856,193774.0,2.868,0.048,20.8,people tested,,,,,,,,,,,,,,48.61,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
129103,UKR,Europe,Ukraine,2020-09-11,152373.0,3227.0,2614.857,3132.0,53.0,45.714,3505.501,74.241,60.158,72.055,1.219,1.052,1.12,,,,,,,,,27945.0,1806428.0,41.559,0.643,22703.0,0.522,0.115,8.7,tests performed,,,,,,,,,,,,,,64.35,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,
11240,BRB,North America,Barbados,2020-09-13,181.0,1.0,0.429,7.0,0.0,0.0,629.11,3.476,1.49,24.33,0.0,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
14766,BTN,Asia,Bhutan,2020-09-13,245.0,1.0,2.429,,,0.0,314.143,1.282,3.114,,,0.0,0.76,,,,,,,,,904.0,114253.0,146.497,1.159,840.0,1.077,0.003,345.8,samples tested,,,,,,,,,,,,,,89.35,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
120387,CHE,Europe,Switzerland,2020-09-13,47179.0,475.0,396.857,1870.0,0.0,1.857,5413.233,54.501,45.535,214.56,0.0,0.213,1.14,26.0,2.983,130.0,14.916,,,100.0,11.474,4139.0,821142.0,94.216,0.475,12932.0,1.484,0.036,27.8,tests performed,,,,,,,,,,,,,,43.06,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,551.6,1.15,4.41,63.2895851916139
46984,DEU,Europe,Germany,2020-09-13,261737.0,920.0,1429.857,9354.0,2.0,3.429,3119.613,10.965,17.042,111.489,0.024,0.041,1.12,234.0,2.789,,,,,480.0,5.723,,14500798.0,172.833,,164066.0,1.955,0.009,111.1,tests performed,,,,,,,,,,,,,,49.54,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-8985.1,-1.32,3.15,-107.092366620922
114468,ZAF,Africa,South Africa,2020-09-13,649793.0,1579.0,1610.857,15447.0,20.0,79.714,10822.308,26.298,26.829,257.27,0.333,1.328,0.86,,,,,,,,,15692.0,3918478.0,65.262,0.261,16898.0,0.281,0.095,10.5,people tested,,,,,,,,,,,,,,72.22,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,26327.7,7.04,3.0,438.488087571239
13824,BEN,Africa,Benin,2020-09-14,2267.0,0.0,7.714,40.0,0.0,0.0,182.073,0.0,0.62,3.213,0.0,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
31942,CZE,Europe,Czechia,2020-09-14,37222.0,1034.0,1215.143,465.0,9.0,4.0,3470.727,96.414,113.305,43.358,0.839,0.373,1.58,75.0,6.993,339.0,31.61,,,,,17519.0,,,1.634,15040.0,1.402,0.081,12.3,tests performed,,,,,,,,,,,,,,38.89,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
100419,POL,Europe,Poland,2020-09-14,74529.0,377.0,486.143,2203.0,15.0,11.286,1971.823,9.974,12.862,58.285,0.397,0.299,1.09,,,1972.0,52.173,,,,,12109.0,2875675.0,76.082,0.32,17752.0,0.47,0.027,36.5,people tested,,,,,,,,,,,,,,36.11,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,
124260,TLS,Asia,Timor,2020-09-14,27.0,0.0,0.0,,,0.0,20.091,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,
205,AFG,Asia,Afghanistan,2020-09-16,38941.0,40.0,44.429,1440.0,10.0,2.286,977.547,1.004,1.115,36.149,0.251,0.057,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
33258,DNK,Europe,Denmark,2020-09-16,21013.0,0.0,282.429,633.0,0.0,0.714,3614.641,0.0,48.583,108.888,0.0,0.123,1.46,2.0,0.344,51.0,8.773,,,,,56699.0,3199594.0,550.392,9.753,50715.0,8.724,0.006,179.6,tests performed,,,,,,,,,,,,,,47.69,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
64223,JOR,Asia,Jordan,2020-09-16,3852.0,175.0,170.429,26.0,0.0,1.0,375.109,17.042,16.596,2.532,0.0,0.097,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
44079,FRA,Europe,France,2020-09-17,456171.0,10239.0,8837.571,31108.0,47.0,40.571,6751.662,151.545,130.802,460.421,0.696,0.6,1.22,793.0,11.737,5825.0,86.214,,,,,244134.0,,,3.613,203477.0,3.012,0.052,19.2,people tested,,,,,,,,,,,,,,48.61,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
97034,PAN,North America,Panama,2020-09-17,104138.0,672.0,631.857,2213.0,15.0,12.286,23767.209,153.369,144.208,505.069,3.423,2.804,0.97,,,,,,,,,5355.0,414070.0,94.502,1.222,4728.0,1.079,0.134,7.5,tests performed,,,,,,,,,,,,,,87.04,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
28467,CRI,North America,Costa Rica,2020-09-18,62374.0,1556.0,1200.714,686.0,20.0,14.714,12137.256,302.78,233.645,133.488,3.892,2.863,1.06,,,,,,,,,3238.0,174148.0,33.887,0.63,2417.0,0.47,0.426,2.3,people tested,,,,,,,,,,,,,,62.96,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
30395,CUB,North America,Cuba,2020-09-18,5004.0,71.0,58.714,111.0,2.0,0.714,442.147,6.273,5.188,9.808,0.177,0.063,1.06,,,,,,,,,7554.0,531928.0,47.0,0.667,7767.0,0.686,0.008,132.3,tests performed,,,,,,,,,,,,,,86.11,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
117790,LKA,Asia,Sri Lanka,2020-09-18,3281.0,5.0,16.0,13.0,0.0,0.143,152.624,0.233,0.744,0.605,0.0,0.007,0.88,,,,,,,,,1714.0,266057.0,12.376,0.08,2038.0,0.095,0.008,127.4,tests performed,,,,,,,,,,,,,,26.85,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
76946,MYS,Asia,Malaysia,2020-09-18,10147.0,95.0,48.143,130.0,1.0,0.286,309.584,2.898,1.469,3.966,0.031,0.009,1.47,11.0,0.336,282.0,8.604,,,,,9236.0,1474487.0,44.987,0.282,9354.0,0.285,0.005,194.3,people tested,,,,,,,,,,,,,,66.2,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,,,,
105682,VCT,North America,Saint Vincent and the Grenadines,2020-09-18,64.0,0.0,0.0,,,0.0,575.183,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,,,,
43396,FIN,Europe,Finland,2020-09-19,8922.0,64.0,52.143,339.0,0.0,0.286,1608.042,11.535,9.398,61.099,0.0,0.051,1.36,,,,,,,,,12256.0,989363.0,178.316,2.209,13697.0,2.469,0.004,262.7,tests performed,,,,,,,,,,,,,,32.41,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
53066,HTI,North America,Haiti,2020-09-19,8556.0,0.0,14.143,220.0,0.0,0.571,741.313,0.0,1.225,19.061,0.0,0.05,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,,,,
16201,BIH,Europe,Bosnia and Herzegovina,2020-09-20,25428.0,211.0,280.429,763.0,5.0,9.571,7791.733,64.655,85.93,233.801,1.532,2.933,0.98,,,,,,,,,,,,,2120.0,0.65,0.132,7.6,tests performed,,,,,,,,,,,,,,40.74,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
31948,CZE,Europe,Czechia,2020-09-20,49290.0,984.0,1871.714,503.0,4.0,6.714,4595.996,91.752,174.526,46.902,0.373,0.626,1.4,106.0,9.884,532.0,49.606,180.0,16.738,846.0,78.923,10561.0,,,0.985,18505.0,1.725,0.101,9.9,tests performed,,,,,,,,,,,,,,38.89,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,-485.8,-0.59,9.33,-45.2979252375367
29760,HRV,Europe,Croatia,2020-09-20,14922.0,197.0,198.429,248.0,4.0,3.429,3655.868,48.265,48.615,60.76,0.98,0.84,0.92,,,281.0,68.845,,,172.0,42.137,4384.0,258864.0,63.421,1.074,5290.0,1.296,0.038,26.7,people tested,,,,,,,,,,,,,,28.7,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,-473.0,-1.25,7.12,-115.884308750098
68912,LVA,Europe,Latvia,2020-09-20,1525.0,10.0,7.286,36.0,0.0,0.143,816.847,5.356,3.903,19.283,0.0,0.077,1.59,,,12.0,6.428,0.0,0.0,7.0,3.669,1933.0,295242.0,158.143,1.035,2368.0,1.268,0.003,325.0,tests performed,,,,,,,,,,,,,,41.67,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,-518.2,-2.52,-2.21,-277.567391241469
103698,RWA,Africa,Rwanda,2020-09-20,4711.0,22.0,17.143,26.0,0.0,0.571,354.837,1.657,1.291,1.958,0.0,0.043,0.62,,,,,,,,,1892.0,475931.0,35.848,0.143,1862.0,0.14,0.009,108.6,samples tested,,,,,,,,,,,,,,78.7,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,
30398,CUB,North America,Cuba,2020-09-21,5141.0,50.0,59.286,116.0,1.0,1.143,454.252,4.418,5.238,10.25,0.088,0.101,1.0,,,,,,,,,8175.0,554425.0,48.988,0.722,7734.0,0.683,0.008,130.5,tests performed,,,,,,,,,,,,,,86.11,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
46992,DEU,Europe,Germany,2020-09-21,275560.0,1595.0,1762.571,9390.0,0.0,4.857,3284.368,19.011,21.008,111.918,0.0,0.058,1.13,265.0,3.159,,,,,,,,,,,165460.0,1.972,,,tests performed,,,,,,,,,,,,,,49.54,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
48619,GRC,Europe,Greece,2020-09-21,15595.0,453.0,310.714,344.0,6.0,4.857,1503.749,43.681,29.961,33.17,0.579,0.468,1.14,,,,,,,,,7905.0,1210118.0,116.686,0.762,11013.0,1.062,0.028,35.4,samples tested,,,,,,,,,,,,,,58.33,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
58374,OWID_INT,,International,2020-09-21,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46311,GEO,Asia,Georgia,2020-09-22,3913.0,218.0,193.0,23.0,3.0,0.571,983.222,54.777,48.495,5.779,0.754,0.144,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
